Time,Value
5,16
10,17.7
15,17.7
20,16.8
25,26.6
30,26.6
35,26.6
40,22.3
45,22.3
50,22.3
55,21.8
60,23.6
65,74.8
70,74.8
75,74.8
80,38.6
85,38.6
90,16.8
95,16.8
100,19.5
105,30.2
110,30.2
115,30.2
120,21.9
125,21.9
130,15.5
135,15.7
140,46.2
145,46.2
150,46.2
155,27.6
160,27.6
165,15.7
170,16.8
175,41
180,41
185,23.9
190,23.9
195,25.4
200,25.4
205,21
210,21
215,21
220,28
225,28
230,28
235,24.5
240,26.9
245,26.9
250,34.3
255,34.3
260,34.3
265,42.8
270,42.8
275,39.5
280,39.5
285,30.1
290,33.3
295,33.3
300,42.8
305,42.8
310,26.7
315,32.7
320,32.7
325,32.7
330,29.1
335,31.2
340,31.2
345,33.5
350,33.5
355,34.6
360,34.6
365,34.6
370,24.4
375,39.9
380,39.9
385,33.3
390,33.3
395,38
400,38
405,38
410,42.9
415,42.9
420,44.3
425,44.3
430,44.3
435,30.1
440,30.1
445,30.1
450,37.6
455,37.6
460,33.2
465,33.2
470,33.2
475,26.5
480,29.1
485,29.1
490,29.1
495,22.8
500,60.1
505,60.1
510,38
515,38
520,59.6
525,59.6
530,32.1
535,60.8
540,60.8
545,60.8
550,32.1
555,32.1
560,34.5
565,34.5
570,34.5
575,35.4
580,35.4
585,35.4
590,30.5
595,30.5
600,32.4
605,39.9
610,80.1
615,80.1
620,61.6
625,61.6
630,61.6
635,56.3
640,56.3
645,35.6
650,73.8
655,73.8
660,77.8
665,77.8
670,76.2
675,76.2
680,115
685,115
690,106.1
695,106.1
700,106.1
705,118.7
710,118.7
715,93.1
720,93.1
725,130
730,130
735,130
740,118
745,123.8
750,123.8
755,123.8
760,116.9
765,116.9
770,116.9
775,90.2
780,126.6
785,126.6
790,97
795,97
800,99.2
805,99.2
810,77
815,102.5
820,102.5
825,102.5
830,114
835,114
840,79.9
845,79.9
850,91.8
855,99.9
860,111.1
865,111.1
870,104.3
875,104.3
880,99.8
885,131.1
890,131.1
895,131.1
900,100.2
905,111.6
910,111.6
915,102
920,102
925,102
930,86.1
935,87.9
940,87.9
945,87.9
950,82.4
955,100.5
960,100.5
965,91.3
970,91.3
975,94.4
980,94.4
985,73.7
990,85.6
995,98.8
1000,98.8
1005,88.3
1010,88.3
1015,88.3
1020,89.5
1025,94.7
1030,94.7
1035,94.7
1040,85.3
1045,85.3
1050,83.1
1055,83.1
1060,77.8
1065,104.4
1070,104.4
1075,89.1
1080,89.1
1085,89.1
1090,79.5
1095,134.4
1100,134.4
1105,134.4
1110,121.1
1115,121.1
1120,101.7
1125,111
1130,111
1135,134.1
1140,134.1
1145,88.7
1150,88.7
1155,112.6
1160,125.2
1165,125.2
1170,95.1
1175,114.7
1180,114.7
1185,85.9
1190,101.5
1195,103.5
1200,115.5
1205,115.5
1210,114.5
1215,114.5
1220,114.5
1225,102.6
1230,102.6
1235,95.2
1240,95.2
1245,81.1
1250,93.1
1255,93.1
1260,106.9
1265,121.8
1270,121.8
1275,121.8
1280,87.8
1285,87.8
1290,93.2
1295,99.7
1300,99.7
1305,122
1310,122
1315,122
1320,87.5
1325,93
1330,116.1
1335,146.9
1340,146.9
1345,146.9
1350,95.2
1355,95.2
1360,121.5
1365,121.5
1370,103.5
1375,103.5
1380,103.5
1385,105.4
1390,105.4
1395,90.2
1400,90.2
1405,111.4
1410,111.4
1415,111.4
1420,101.4
1425,101.4
1430,125.2
1435,125.2
1440,125.2
1445,98.3
1450,98.3
1455,98.3
1460,88.9
1465,103.2
1470,103.2
1475,105.8
1480,105.8
1485,95.3
1490,106.4
1495,110.4
1500,110.4
1505,90.7
1510,95.9
1515,95.9
1520,105.8
1525,124.7
1530,124.7
1535,118.7
1540,118.7
1545,118.7
1550,106.7
1555,113.8
1560,113.8
1565,111.6
1570,111.6
1575,122.6
1580,127.8
1585,127.8
1590,136.4
1595,136.4
1600,136.4
1605,98.7
1610,98.7
1615,120.4
1620,120.4
1625,120.4
1630,118.5
1635,121.9
1640,121.9
1645,121.9
1650,135.6
1655,135.6
1660,103.3
1665,103.3
1670,103.3
1675,99.4
1680,114.9
1685,114.9
1690,114.9
1695,113.3
1700,113.3
1705,94.9
1710,94.9
1715,120.1
1720,120.1
1725,120.1
1730,107.4
1735,107.4
1740,99.1
1745,107.2
1750,141.2
1755,154.3
1760,154.4
1765,154.4
1770,103.7
1775,103.7
1780,107
1785,107
1790,103.2
1795,103.2
1800,115.8
1805,115.8
1810,115.8
1815,129.2
1820,129.2
1825,104.5
1830,124.7
1835,124.7
1840,94.9
1845,97.2
1850,97.2
1855,86
1860,117
1865,140.7
1870,140.7
1875,140.7
1880,102.1
1885,102.1
1890,90
1895,90
1900,91.4
1905,91.4
1910,115.2
1915,115.2
1920,115.2
1925,83.4
1930,83.4
1935,94.7
1940,94.7
1945,91.2
1950,109
1955,109
1960,109
1965,85.9
1970,85.9
1975,92.3
1980,92.3
1985,88.9
1990,90.7
1995,124.1
2000,124.1
2005,101.3
2010,101.3
2015,96.7
2020,96.7
2025,96.7
2030,92.8
2035,92.8
2040,92.8
2045,87.9
2050,103.9
2055,107.8
2060,107.8
2065,107.8
2070,88.7
2075,90.6
2080,90.6
2085,106.6
2090,115.1
2095,115.1
2100,130.8
2105,130.8
2110,130.8
2115,108.6
2120,108.6
2125,79
2130,93.8
2135,93.8
2140,93.8
2145,86.9
2150,86.9
2155,89.3
2160,89.3
2165,89.3
2170,103.3
2175,103.3
2180,77.2
2185,92.9
2190,92.9
2195,94.6
2200,94.6
2205,95.1
2210,95.1
2215,107.3
2220,130.9
2225,130.9
2230,147.2
2235,147.2
2240,147.2
2245,123
2250,123
2255,103.9
2260,103.9
2265,103.9
2270,94.4
2275,94.4
2280,94.4
2285,96.1
2290,96.1
2295,99.4
2300,104.3
2305,104.3
2310,95.1
2315,95.1
2320,95.1
2325,82.8
2330,82.8
2335,84.2
2340,84.2
2345,130.2
2350,130.2
2355,124.9
2360,124.9
2365,124.9
2370,102.9
2375,102.9
2380,81.1
2385,83.8
2390,83.8
2395,91.5
2400,91.5
2405,114.2
2410,114.2
2415,100.4
2420,100.4
2425,100.4
2430,97.8
2435,97.8
2440,96.7
2445,96.7
2450,101
2455,101
2460,96
2465,96
2470,104.3
2475,104.3
2480,104.3
2485,96.6
2490,96.6
2495,76.6
2500,113.4
2505,113.4
2510,113.4
2515,139
2520,139
2525,139
2530,106.7
2535,111.7
2540,111.7
2545,111.7
2550,86.6
2555,118.2
2560,118.2
2565,118.2
2570,118.2
2575,118.2
2580,104.2
2585,104.2
2590,99
2595,100.9
2600,100.9
2605,86.6
2610,86.6
2615,110.6
2620,110.6
2625,118.8
2630,118.8
2635,106.1
2640,106.1
2645,106.1
2650,97.6
2655,106.8
2660,110.2
2665,110.2
2670,87.1
2675,97.3
2680,97.3
2685,97.3
2690,93.1
2695,93.1
2700,93.1
2705,88.3
2710,89.8
2715,93.3
2720,93.3
2725,93.3
2730,82.8
2735,82.8
2740,76.2
2745,115.4
2750,115.4
2755,69.2
2760,69.2
2765,71.6
2770,71.6
2775,75.5
2780,78.6
2785,78.6
2790,78.6
2795,75.6
2800,75.6
2805,92.3
2810,92.3
2815,92.3
2820,83.1
2825,83.1
2830,83.1
2835,78.2
2840,108.2
2845,108.2
2850,103.8
2855,103.8
2860,103.8
2865,89
2870,89
2875,84.4
2880,84.4
2885,84.4
2890,80.7
2895,80.7
2900,77.9
2905,77.9
2910,88.3
2915,88.3
2920,81.9
2925,82.5
2930,84.9
2935,108.2
2940,108.2
2945,98.5
2950,100.7
2955,100.7
2960,100.7
2965,97.6
2970,97.6
2975,81.2
2980,81.2
2985,83
2990,121
2995,121
3000,89.5
3005,89.5
3010,78.3
3015,78.3
3020,121.8
3025,121.8
3030,77.5
3035,94.5
3040,94.5
3045,88.1
3050,95.2
3055,95.2
3060,95.2
3065,109.6
3070,109.6
3075,80.9
3080,80.9
3085,80.9
3090,72
3095,82.9
3100,88.1
3105,88.1
3110,76.1
3115,77.8
3120,77.8
3125,77.8
3130,95.6
3135,95.6
3140,95.6
3145,81.1
3150,81.1
3155,83.5
3160,83.9
3165,96.9
3170,96.9
3175,83.2
3180,83.2
3185,108.3
3190,108.3
3195,85.3
3200,85.3
3205,85.3
3210,88.4
3215,88.4
3220,88.4
3225,91.8
3230,91.8
3235,91.8
3240,73.6
3245,97.8
3250,97.8
3255,76.2
3260,116.7
3265,116.7
3270,116.7
3275,86.9
3280,86.9
3285,67.6
3290,71.6
3295,79.6
3300,79.6
3305,83.1
3310,104.8
3315,104.8
3320,104.8
3325,102.9
3330,102.9
3335,72.5
3340,96.3
3345,96.3
3350,81.1
3355,81.1
3360,83.9
3365,83.9
3370,83.9
3375,79.6
3380,118.1
3385,118.1
3390,118.1
3395,105.7
3400,105.7
3405,89.7
3410,89.7
3415,75.8
3420,75.8
3425,85.5
3430,86.3
3435,89.8
3440,95.5
3445,96
3450,98.5
3455,98.5
3460,110.6
3465,110.6
3470,99.9
3475,99.9
3480,74
3485,85.9
3490,85.9
3495,100.9
3500,100.9
3505,100.9
3510,91
3515,91
3520,75.4
3525,86.6
3530,86.6
3535,86.6
3540,76.8
3545,87.9
3550,87.9
3555,87.9
3560,74.6
3565,74.6
3570,88.8
3575,88.8
3580,83.7
3585,85.2
3590,85.2
3595,91.7
3600,91.7
3605,91.7
3610,87
3615,98.9
3620,98.9
3625,91.9
3630,91.9
3635,101.5
3640,103.8
3645,103.8
3650,70.2
3655,70.2
3660,81.6
3665,84.1
3670,84.1
3675,84.1
3680,72.7
3685,72.7
3690,94.3
3695,94.3
3700,94.3
3705,75.7
3710,75.7
3715,81.2
3720,81.2
3725,81.2
3730,73.4
3735,73.4
3740,81.6
3745,81.6
3750,69.9
3755,91.3
3760,91.3
3765,86.9
3770,86.9
3775,73.4
3780,93.8
3785,93.8
3790,93.8
3795,78.6
3800,94.7
3805,94.7
3810,75.8
3815,75.8
3820,69.3
3825,95.3
3830,95.3
3835,78.5
3840,78.5
3845,78.5
3850,73.6
3855,73.6
3860,73.6
3865,78.7
3870,99.4
